_id,Vorname,Anzahl,Geschlecht
693,Alban,4 oder weniger,m
694,Albert,4 oder weniger,m
695,Albert-Alexandru,4 oder weniger,m
696,Albesa,4 oder weniger,w
697,Aldin,4 oder weniger,m
698,Aldon,4 oder weniger,m
699,Alea,4 oder weniger,w
700,Aléa,4 oder weniger,w
701,Alecia,4 oder weniger,w
702,Aleena,4 oder weniger,w
703,Alei,4 oder weniger,m
704,Aleina,4 oder weniger,w
705,Alejna,4 oder weniger,w
706,Aleks,4 oder weniger,m
707,Aleksa,4 oder weniger,m
708,Aleksandar,4 oder weniger,m
709,Aleksandra,4 oder weniger,w
710,Aleksei,4 oder weniger,m
711,Aleksej,4 oder weniger,m
712,Alen,4 oder weniger,m
713,Alend,4 oder weniger,m
714,Alessa,4 oder weniger,w
715,Alessandra,4 oder weniger,w
716,Alessandro,4 oder weniger,m
717,Alessio,4 oder weniger,m
718,Alessio-Santo,4 oder weniger,m
719,Alex,4 oder weniger,w
720,Alexandr,4 oder weniger,m
721,Alexandra-Proia,4 oder weniger,w
722,Alexandre,4 oder weniger,m
723,Alexandros,4 oder weniger,m
724,Alexandru,4 oder weniger,m
725,Alexey,4 oder weniger,m
726,Alexia-Alexandra,4 oder weniger,w
727,Alexios,4 oder weniger,m
728,Alexis,4 oder weniger,w
729,Aleyla,4 oder weniger,w
730,Aleyna,4 oder weniger,w
731,Aleyna-Maryam,4 oder weniger,w
732,Alfie,4 oder weniger,m
733,Alfons,4 oder weniger,m
734,Alfred,4 oder weniger,m
735,Alica,4 oder weniger,w
736,Alieu,4 oder weniger,m
737,Alija,4 oder weniger,m
738,Alika,4 oder weniger,w
739,Aliki,4 oder weniger,w
740,Alima,4 oder weniger,w
741,Alin,4 oder weniger,w
742,Aline,4 oder weniger,w
743,Aliona,4 oder weniger,w
744,Alis,4 oder weniger,w
745,Alisah,4 oder weniger,w
746,Alisha,4 oder weniger,w
747,Alissa,4 oder weniger,w
748,Alita,4 oder weniger,w
749,Aliyah,4 oder weniger,w
750,Aliyan,4 oder weniger,m
751,Aliza,4 oder weniger,w
752,Alizé,4 oder weniger,w
753,Alizée,4 oder weniger,w
754,Aljoša,4 oder weniger,m
755,Allan,4 oder weniger,m
756,Allegra,4 oder weniger,w
757,Allegria,4 oder weniger,w
758,Ally,4 oder weniger,w
759,Almila,4 oder weniger,w
760,Almin,4 oder weniger,m
761,Almira,4 oder weniger,w
762,Almis,4 oder weniger,m
763,Almut,4 oder weniger,w
764,Alois,4 oder weniger,m
765,Alonja,4 oder weniger,w
766,Aloys,4 oder weniger,m
767,Alp,4 oder weniger,m
768,Alpacino,4 oder weniger,m
769,Alparslan,4 oder weniger,m
770,Alparslan-Ayaz,4 oder weniger,m
771,Alpaslan,4 oder weniger,m
772,Alpay,4 oder weniger,m
773,Alper,4 oder weniger,m
774,Alsion,4 oder weniger,m
775,Altay,4 oder weniger,m
776,Altea,4 oder weniger,w
777,Alvaressio,4 oder weniger,m
778,Alvaro,4 oder weniger,m
779,Álvaro,4 oder weniger,m
780,Alvina,4 oder weniger,w
781,Alwin,4 oder weniger,m
782,Alya,4 oder weniger,w
783,Alyna,4 oder weniger,w
784,Alyson,4 oder weniger,w
785,Alyssa,4 oder weniger,w
786,Alžbeta,4 oder weniger,w
787,Amadou,4 oder weniger,m
788,Amaia,4 oder weniger,w
789,Amaja,4 oder weniger,w
790,Amal,4 oder weniger,w
791,Amalie,4 oder weniger,w
792,Amana,4 oder weniger,w
793,Amanda,4 oder weniger,w
794,Amani,4 oder weniger,w
795,Amara,4 oder weniger,w
796,Amarah,4 oder weniger,w
797,Amari,4 oder weniger,w
798,Amaris,4 oder weniger,m
799,Amaru,4 oder weniger,m
800,Amav,4 oder weniger,m
801,Amay,4 oder weniger,m
802,Amayra,4 oder weniger,w
803,Amdiyah,4 oder weniger,w
804,Amedea-Elissa,4 oder weniger,w
805,Ameer,4 oder weniger,m
806,Amel,4 oder weniger,m
807,Amela,4 oder weniger,w
808,Amelie-Sofie,4 oder weniger,w
809,Amelie-Sophie,4 oder weniger,w
810,Amelio,4 oder weniger,m
811,Amely,4 oder weniger,w
812,Amen,4 oder weniger,w
813,Amia,4 oder weniger,w
814,Amiira,4 oder weniger,w
815,Amilia,4 oder weniger,w
816,Amin,4 oder weniger,m
817,Aminah,4 oder weniger,w
818,Amine,4 oder weniger,w
819,Ammar,4 oder weniger,m
820,Amna,4 oder weniger,w
821,Amora,4 oder weniger,w
822,Amos,4 oder weniger,m
823,Amr,4 oder weniger,m
824,Amram,4 oder weniger,m
825,Amran,4 oder weniger,w
826,An,4 oder weniger,w
827,Anabella,4 oder weniger,w
828,Anais,4 oder weniger,w
829,Anando,4 oder weniger,m
830,Ananya,4 oder weniger,w
831,Anas,4 oder weniger,m
832,Anastasia-Sofia,4 oder weniger,w
833,Anastasija,4 oder weniger,w
834,Anastasios,4 oder weniger,m
835,Anastazia,4 oder weniger,w
836,Anat,4 oder weniger,w
837,Anaya,4 oder weniger,w
838,Anays,4 oder weniger,w
839,Anays-Sophya,4 oder weniger,w
840,Anđela,4 oder weniger,w
841,Andja,4 oder weniger,w
842,Andjela,4 oder weniger,w
843,Andjelina,4 oder weniger,w
844,Andre,4 oder weniger,m
845,André,4 oder weniger,m
846,Andrea,4 oder weniger,m
847,Andrei,4 oder weniger,m
848,Andreo,4 oder weniger,m
849,Andrian,4 oder weniger,m
850,Andrii,4 oder weniger,m
851,Andrin,4 oder weniger,m
852,Andy,4 oder weniger,m
853,Andzhelina,4 oder weniger,w
854,Anel,4 oder weniger,m
855,Anela,4 oder weniger,w
856,Anelia,4 oder weniger,w
857,Anes,4 oder weniger,m
858,Anesa,4 oder weniger,w
859,Aneto,4 oder weniger,m
860,Anfas,4 oder weniger,w
861,Angel,4 oder weniger,w
862,Angel,4 oder weniger,m
863,Ángel,4 oder weniger,m
864,Angela,4 oder weniger,w
865,Angelika,4 oder weniger,w
866,Angelina,4 oder weniger,w
867,Angelique,4 oder weniger,w
868,Angelo,4 oder weniger,m
869,Angelos,4 oder weniger,m
870,Anh,4 oder weniger,w
871,Anhelina,4 oder weniger,w
872,Ani,4 oder weniger,w
873,Anian,4 oder weniger,m
874,Anik,4 oder weniger,m
875,Anika,4 oder weniger,w
876,Anir,4 oder weniger,m
877,Aniruddh,4 oder weniger,m
878,Anisa,4 oder weniger,w
879,Anita,4 oder weniger,w
880,Anja,4 oder weniger,w
881,Anka,4 oder weniger,w
882,Anker,4 oder weniger,m
883,Anmay,4 oder weniger,m
884,Anmol,4 oder weniger,m
885,Annabel,4 oder weniger,w
886,Annabell,4 oder weniger,w
887,Annabella,4 oder weniger,w
888,Annabelle,4 oder weniger,w
889,Annaël,4 oder weniger,m
890,Annalena,4 oder weniger,w
891,Anna-Lena,4 oder weniger,w
892,Annalisa,4 oder weniger,w
893,Annamaria,4 oder weniger,w
894,Anna-Maria,4 oder weniger,w
895,Anna-Marie,4 oder weniger,w
896,Annapurna,4 oder weniger,w
897,Anna-Schahla,4 oder weniger,w
898,Anna-Soleil,4 oder weniger,w
899,Anna-Sophia,4 oder weniger,w
900,Anna-Sophie,4 oder weniger,w
901,Anne,4 oder weniger,w
902,Annelie,4 oder weniger,w
903,Anneliese,4 oder weniger,w
904,Annelise,4 oder weniger,w
905,Anne-Marie,4 oder weniger,w
906,Anni,4 oder weniger,w
907,Annie,4 oder weniger,w
908,Annina,4 oder weniger,w
909,Ann-Sophie,4 oder weniger,w
910,Anor,4 oder weniger,m
911,Anoush,4 oder weniger,w
912,Ansel,4 oder weniger,m
913,Anselm,4 oder weniger,m
914,Anshii,4 oder weniger,w
915,Anshika,4 oder weniger,w
916,Anskar,4 oder weniger,m
917,Ante,4 oder weniger,m
918,Antea,4 oder weniger,w
919,Anto,4 oder weniger,m
920,Antonij,4 oder weniger,m
921,Antonija,4 oder weniger,w
922,Antonino,4 oder weniger,m
923,Antonios,4 oder weniger,m
924,Antonius,4 oder weniger,m
925,Antony,4 oder weniger,m
926,Anuar,4 oder weniger,m
927,Anusha,4 oder weniger,w
928,Anwitha,4 oder weniger,w
929,Anya,4 oder weniger,w
930,Anze,4 oder weniger,m
931,Aparaajitha,4 oder weniger,w
932,Apollonia,4 oder weniger,w
933,Aratna,4 oder weniger,w
934,Araz,4 oder weniger,m
935,Ardahan,4 oder weniger,m
936,Ardian,4 oder weniger,m
937,Ardior,4 oder weniger,m
938,Ardisiya,4 oder weniger,w
939,Areen,4 oder weniger,m
940,Arel,4 oder weniger,m
941,Ares,4 oder weniger,m
942,Arhaan,4 oder weniger,m
943,Arham,4 oder weniger,m
944,Aria,4 oder weniger,m
945,Ariadne,4 oder weniger,w
946,Ariane,4 oder weniger,w
947,Arianna,4 oder weniger,w
948,Arian-Nibras,4 oder weniger,m
949,Ariel,4 oder weniger,m
950,Arif,4 oder weniger,m
951,Arijan,4 oder weniger,m
952,Arika,4 oder weniger,w
953,Arin,4 oder weniger,m
954,Arina,4 oder weniger,w
955,Arini,4 oder weniger,w
956,Arion,4 oder weniger,m
957,Aris,4 oder weniger,m
958,Arish,4 oder weniger,m
959,Arison,4 oder weniger,m
960,Arivière,4 oder weniger,w
961,Ariwan,4 oder weniger,m
962,Ariya,4 oder weniger,w
963,Arjen,4 oder weniger,m
964,Arjon,4 oder weniger,m
965,Arjun,4 oder weniger,m
966,Arkan,4 oder weniger,m
967,Arlo,4 oder weniger,m
968,Armaan,4 oder weniger,m
969,Arman,4 oder weniger,m
970,Armand,4 oder weniger,m
971,Armina,4 oder weniger,w
972,Arnaldo,4 oder weniger,m
973,Arne,4 oder weniger,m
974,Arnid,4 oder weniger,m
975,Arno,4 oder weniger,m
976,Arnošt,4 oder weniger,m
977,Áron,4 oder weniger,m
978,Arsen,4 oder weniger,m
979,Arseniiy,4 oder weniger,m
980,Arsenije,4 oder weniger,m
981,Arseniy,4 oder weniger,m
982,Arshia,4 oder weniger,w
983,Arshil,4 oder weniger,m
984,Arslan,4 oder weniger,m
985,Art,4 oder weniger,m
986,Artam,4 oder weniger,m
987,Artem,4 oder weniger,m
988,Artemi,4 oder weniger,m
989,Artemis,4 oder weniger,w
990,Artemisa,4 oder weniger,w
991,Artemiy,4 oder weniger,m
992,Arti,4 oder weniger,m
993,Artis,4 oder weniger,w
994,Arturo,4 oder weniger,m
995,Artus,4 oder weniger,m
996,Aruzhan,4 oder weniger,w
997,Arven,4 oder weniger,w
998,Arvid,4 oder weniger,m
999,Arvin,4 oder weniger,m
1000,Arwa,4 oder weniger,w
1001,Arwan,4 oder weniger,m
1002,Ary,4 oder weniger,m
1003,Arya,4 oder weniger,w
1004,Arya,4 oder weniger,m
1005,Aryam,4 oder weniger,w
1006,Aryan,4 oder weniger,m
1007,Aryas,4 oder weniger,m
1008,Aryn-Leena,4 oder weniger,w
1009,Aryob,4 oder weniger,m
1010,Asaf,4 oder weniger,m
1011,Asal,4 oder weniger,w
1012,Asan,4 oder weniger,m
1013,Asel,4 oder weniger,w
1014,Asen,4 oder weniger,m
1015,Asena,4 oder weniger,w
1016,Asier,4 oder weniger,m
1017,Asija,4 oder weniger,w
1018,Asinat,4 oder weniger,w
1019,Asiya,4 oder weniger,w
1020,Asiye,4 oder weniger,w
